序号,类型,名称,名称英文,名称（卢恩文）,协语,价值,唱文,主神,主神（拉丁字母）,箴言
1,族群,黜人,Outcast,[ᛊᛁᚲᚱᚨᚱ],无,8,万钧罪责无可赦，再无相聚时,锡克菈,Sekrar,锡克菈的姐妹关注您的命运。她环游大地，欣赏自我的完善，远离固定不变的环境。在她看来，运用变化的方法将成为您命运的关键所在。她也请您留意灰色的事物。
2,族群,猎手,Hunter,[ᚹᛖᛁᚦᛁᛗᚨ],无,8,引弓捕影风声切，逐猎无终日,薇狄玛,Veidima,薇狄玛的姐妹关注您的命运。她来自西北，偏爱内心而非外在的勇敢，厌恶蛮力和不成熟的决断。她认为您的生活充满机会，您欠缺的也许只是一颗能抓住机会的强大心灵。她也请您留意以“5”结尾的数字。
3,族群,战士,Warrior,[ᚺᚨᚱᛗᚨ],无,8,坚石高墙起群山，角盔覆冰寒,赫尔玛,Herrma,赫尔玛的姐妹关注您的命运。她北向而行，独钟那些缄口服从的灵魂，从不与失约者为伍。她口中轻声颂出“欧-弗里德尔”的诗篇，为您每日的奋斗送上无条件的祝福。她也请您留意铁制的事物。
4,族群,萨满,Shaman,[ᚹᚨᛚᚨᚱᛗᚨ],无,12,启开慧眼识密语，鸣呼驱鬼祟,瓦菈玛,Valarma,瓦菈玛的姐妹关注您的命运。她巡防北关，保护脆弱的、善变的万物，镇压任何引起剧变的源头。在她的心中，恒久稳定的规律是您命运的基石，昨日如是，明日亦然。她也请您留意冰冷的事物。
5,族群,雪祀,Snowpriest,[ᚷᛁᚦᛃᚨ],无,12,卜问天地通万灵，寻求我去路,姬缇娅,Gydja,姬缇娅的姐妹关注您的命运。她镇守中央，坚信语言和对话的力量，反对所有未经讨论的决定。她希望有朝一日能与您谈谈，解释她为什么不希望您急躁地做出选择。她也请您留意落下的事物。
6,族群,英雄,Hero,[ᚲᚨᛈᚨᛚᛁᚦ],无,16,荆棘丛生枯骸骨，死亡亦归途,卡帕莉,Kappalid,卡帕莉的姐妹关注您的命运。她冲向极北，如最凛冽的风暴，吸收同类与同道，消灭一切阻挡。她要求您现在立刻就采取行动，并且要求您留意笔直的事物——因为这，方才是英雄之道。
7,自然,树冠,Canopy,[ᚲᛟᚱᛟᚾᚨ],无,8,枝节蔓生叶繁茂，百兽长栖息,克罗娜,Korona,克罗娜的姐妹关注您的命运。她一动不动，照拂自由往来的人与兽，被铁链拴着的，则走不到她的身边来。她闭着眼抬着头，心中却有着丝缕的悔意，她不希望您如她一般后悔。她也请您留意灼热的事物。
8,自然,水面,Water,[ᚹᚨᛏᚾᚨ],无,8,雪泥洗濯发与肤，明镜无风波,瓦滕娜,Vatnna,瓦滕娜的姐妹关注您的命运。她不移尺寸，只在他人需要的时候才给以应答，默默地接受着其他的一切。她已经接受了自己的命运，并希望您也能平静地接受您的。她也请您留意天上的事物。
9,自然,眼睛,Eye,[ᚨᚢᚷᚢᚾᚨ],无,8,所见所知所觅求，幽暗昏黑中,奥古娜,Auguna,奥古娜的姐妹关注您的命运。她持之以恒，守望着一切实在的、有形的物事，忽视着身边空想的、疯狂的呐喊。她想要告诫您，您前方的命运有着阻碍。她也请您留意以“1”结尾的数字。
10,自然,拱门,Arch,[ᛒᚢᚷᛁᚹᛖᚷᚨᚱ],无,12,角兽踪迹银铃音，恍惚至彼端,布维嘉,Bugivegar,布维嘉的姐妹关注您的命运。她安如磐石，以歌声和铃声，为遵行简朴生活的人指路开道，驱赶不轨的恶兽。在她眼里，您在命运中不会伤害到其他人，而她为此满足。她也请您留意路上的事物。
11,自然,光芒,Light,[ᛚᛃᛟᛊᚨᚱ],无,12,地上炬火借白日，照临寒冬夜,莉欧莎,Ljossar,莉欧莎的姐妹关注您的命运。她始终如一，她周围的一切则全部不再是本来的样子；她坚持不变，但理解变化。她请您留意影中的事物：影乃是光所投下，但越在影中，对光的渴望却也越为强大。
12,自然,大地,Earth,[ᛒᛃᛟᚦᚨ],无,16,万物生发复归根，凡事从此始,比约妲,Bjoda,比约妲的姐妹关注您的命运。她岿然不摇，她不青睐什么，也没有任何偏见；她不去恨，也不去爱。在她看来，命运就是命运，不在这之上，也不在这之下。她只请您留意拥有的事物。
13,灵魂,源石,Originium,[ᛟᚱᛁᚷᚨᚾ],无,8,泥土血肉皆不容，百相映其中,欧莉甘,Origan,欧莉甘的姐妹关注您的命运。她安坐极南，眷恋着彼处的温暖，不愿意离开自己的所在。在她的看法中，您的命运将有一场寒冷的挑战——当然，没什么不好的。她也请您留意毛绒的事物。
14,灵魂,乔木,Tree,[ᚨᚱᛒᛟᚱᚨ],无,8,行于高处如星辰，俯瞰霜雪色,阿柏菈,Arbora,阿柏菈的姐妹关注您的命运。她侨居南境，看护着另一位姐妹，也看护着所有无法自我看护的人。她叮嘱您，电闪雷鸣的时候，万万不要在树下躲雨。她也请您留意倒伏的事物。
15,灵魂,砂石,Stone,[ᛗᛟᛚᛁᚾᚨ],无,8,不见生机不见移，终古长静寂,莫琳娜,Molina,莫琳娜的姐妹关注您的命运。她时进时退，总是占有别人留下的，也总是留下别人需要的。她太忙了，没能给您留下有用的建议，但表示您于命运中肯定还会再见到她。她也请您留意棕色的事物。
16,灵魂,灌木,Shrub,[ᚱᚢᚾᚨ],无,12,行于低处如伏兽，听闻号角声,卢恩娜,Runna,卢恩娜的姐妹关注您的命运。她扎根西方，哪怕她知道花朵都会枯萎，也不会想要在盛放时将她们折下。她对您十分坦诚：您的命运将有颠簸，所幸终点尚远。她也请您留意以“3”结尾的数字。
17,灵魂,兽类,Beast,[ᛞᛁᚱᚲᛁᚾ],无,12,啃啮土石摘雾凇，动静随心意,狄尔芩,Dyrkyn,狄尔芩的姐妹关注您的命运。她漫步东北，在所有生灵和姐妹中，往往是她最先迎接每日的晨光。在她的解释中，充足的日光是对您命运最大的助益。她也请您留意绿色的事物。
18,灵魂,人类,Human,[ᛗᚨᚾᚨᚲᛁᚾ],无,16,一日发蒙生灵智，代代相连结,蔓娜芩,Mannakyn,蔓娜芩的姐妹关注您的命运。她周游十方，一切保有秘密的人，都在她的照料之下。并且，她明白地说道，她从未信奉命运。她只请您留意自己的选择。
19,视相,到来,Advent,[ᚠᛇᛞᚨ],无,8,跨越山川终已至，定数无可避。,法埃妲,Faeda,法埃妲的姐妹关注您的命运。她反顾过去：既然从那时走到了现在，就说明自己在路线的选择上没有任何错误，走下去吧。她也请您留意新生的事物。
20,视相,离去,Departure,[ᚠᛟᚱᛚᚨᛏᚨ],无,12,声闻形貌终已远，变数未可知。,弗洛塔,Forlata,弗洛塔的姐妹关注您的命运。她步向将来：等到自己再次驻足的时候，脚下又将是何样色彩？哈哈，不到那时自己怎么会知道呢？她也请您留意忘记的事物。
21,世相,伤痕,Scar,[ᚨᚾᛞᚨᚱᛊᚱ],无,0,灾祸磨难降生大地，行路之人灵魂浑浊,安妲萨,Andarsar,安妲萨的姐妹关注您的命运。她巡礼高天，在每个春天，都不曾忘记让林中积雪的斑块消融——那些正是祖灵之父的泪痕。她对您的造访感到惊讶，您命运的意义一定和您的责任一样，非常重大。她也请您留意流泪的事物。
22,族群,歌唱,Sing,[ᛊᛟᛜᚠᚨ],斗志昂扬,8,弹弦高唱声回环，千羽驻林间,崧格珐,Songva,崧格珐的姐妹关注您的命运。她面向正南，珍爱那些无形的、引人思考的象征，不理会脚下平平无奇的泥土。在她眼里，能否参透一草一木的暗示决定了您运势的好坏。她也请您留意奇怪的事物。
23,族群,沉默,Silence,[ᚦᛟᛖᚷᚾᚨ],不动如山,8,指木问路无回音，山岩自伫立,索格娜,Thoegna,索格娜的姐妹关注您的命运。她南向而行，承认保存生命、保存话语的必要，否定牺牲和轻率的交换。在她看来，是人的生命决定了他命运的长度，而非反过来。她也请您留意以“8”结尾的数字。
24,族群,朗诵,Recite,[ᛚᛖᛊᚨᚾᛞᛁ],锦上添花,8,循诵古训祝亲族，言语定心神,莱桑狄,Lesandi,莱桑狄的姐妹关注您的命运。她来自西南，赞颂每个热情的瞬间，远离扫兴的物和唱反调的人。她认为一把火总是优异于一潭水，在您的命运中也是如此。她也请您留意红色的事物。
25,族群,辩论,Debate,[ᚢᛗᚱᛟᚦᚨ],贵人相助,12,你方唱罢我登场，思维见真知,乌洛妲,Umroda,乌洛妲的姐妹关注您的命运。她前往东北，认可因经验而做出的判断，谴责异想天开者。她想对您说，只要您认为自己做好了准备，您要做的事就能成功，不须犹豫。她也请您留意以“9”结尾的数字。
